soNumber,orderDate,customerName,customerNumber,PoNumber,InquiryNumber,totalOrderItems
SO1000,2025-02-20,Customer A,CUST1000,PO2000,INQ3000,4
SO1001,2025-03-10,Customer B,CUST1001,PO2001,INQ3001,2
SO1002,2025-04-08,Customer C,CUST1002,PO2002,INQ3002,2
SO1003,2025-02-28,Customer D,CUST1003,PO2003,INQ3003,2
SO1004,2025-04-19,Customer E,CUST1004,PO2004,INQ3004,2
SO1005,2025-02-09,Customer F,CUST1005,PO2005,INQ3005,1
SO1006,2025-04-21,Customer G,CUST1006,PO2006,INQ3006,2
SO1007,2025-01-29,Customer H,CUST1007,PO2007,INQ3007,1
SO1008,2025-03-29,Customer I,CUST1008,PO2008,INQ3008,3
SO1009,2025-04-10,Customer J,CUST1009,PO2009,INQ3009,4
